World.
Waited 30 game minutes.
R032 Establishment Ally 1 · friendly · offset -2, 0
last save result: saved
6:25:45 AM: You hear R032 Establishment Ally 1 saying "Out of the way, adventurer."
6:25:46 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:25:47 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, adventurer."
6:25:48 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:25:49 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:25:50 AM: You hear R032 Establishment Ally 1 saying "Out of my way, cunt!"
6:25:51 AM: You hear R032 Establishment Ally 1 saying "Scoot over, pal."
6:25:52 AM: You hear R032 Establishment Ally 1 saying "Out of my god-forsaken way!"
6:25:53 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:25:54 AM: You hear R032 Establishment Ally 1 saying "Hey, my fellow wanderer, can I get through?"
6:25:55 AM: You hear R032 Establishment Ally 1 saying "Let me get past you, pal."
6:25:56 AM: You hear R032 Establishment Ally 1 saying "Mind if I get by?"
6:25:57 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:25:58 AM: You hear R032 Establishment Ally 1 saying "Please let me through."
6:25:59 AM: You hear R032 Establishment Ally 1 saying "Move aside, my fellow nomad."
6:26:00 AM: You hear R032 Establishment Ally 1 saying "Let me just sneak by."
6:26:01 AM: You hear R032 Establishment Ally 1 saying "I'm coming through, bud."
6:26:02 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, adventurer."
6:26:03 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:26:04 AM: You hear R032 Establishment Ally 1 saying "Scoot over, my fellow nomad."
6:26:05 AM: You hear R032 Establishment Ally 1 saying "Let me get by, my dude."
6:26:06 AM: You hear R032 Establishment Ally 1 saying "I need to get past you, partner."
6:26:07 AM: You hear R032 Establishment Ally 1 saying "Out of my goddamn way!"
6:26:08 AM: You hear R032 Establishment Ally 1 saying "I need some space here."
6:26:09 AM: You hear R032 Establishment Ally 1 saying "Hey, pal, can I get through?"
6:26:10 AM: You hear R032 Establishment Ally 1 saying "Hey, partner, can I get through?"
6:26:11 AM: You hear R032 Establishment Ally 1 saying "Gotta pass through, partner."
6:26:12 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, comrade?"
6:26:13 AM: You hear R032 Establishment Ally 1 saying "In the way here pal."
6:26:14 AM: You hear R032 Establishment Ally 1 saying "Out of my way, lazy!"
6:26:15 AM: You hear R032 Establishment Ally 1 saying "Pardon me."
6:26:16 AM: You hear R032 Establishment Ally 1 saying "Let me get past you, trusty companion."
6:26:17 AM: You hear R032 Establishment Ally 1 saying "Shift it, adventurer."
6:26:18 AM: You hear R032 Establishment Ally 1 saying "Let me get by, my fellow wanderer."
6:26:19 AM: You hear R032 Establishment Ally 1 saying "Step aside, okay?"
6:26:20 AM: You hear R032 Establishment Ally 1 saying "Can I just squeeze by you?"
6:26:21 AM: You hear R032 Establishment Ally 1 saying "Can I get past you, accomplice?"
6:26:22 AM: You hear R032 Establishment Ally 1 saying "Let me get by, fellow survivor."
6:26:23 AM: You hear R032 Establishment Ally 1 saying "Out of the way, dawg."
